song_id,source,method,acquired_at,note
279,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
280,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
281,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
261,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
283,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
285,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
286,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
287,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
288,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
289,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
290,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
291,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
293,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
296,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
300,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
302,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
303,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
223,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
307,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
310,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
314,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
315,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
317,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
320,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
323,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
328,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
330,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
331,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
333,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
335,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
337,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
341,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
342,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
344,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
347,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
348,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
353,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
354,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
356,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
220,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
360,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
361,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
362,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
364,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
367,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
332,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
368,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
369,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
370,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
371,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
372,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
373,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
374,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
375,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
376,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
377,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
378,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
379,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
380,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
381,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
382,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
383,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
384,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
385,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
386,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
387,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
388,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
389,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
390,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
391,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
392,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
393,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
394,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
395,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
396,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
397,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
398,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
399,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
295,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
400,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
401,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
402,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
403,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
404,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
405,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
406,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
407,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
408,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
409,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
410,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
411,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
412,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
413,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
339,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
414,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
415,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
416,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
417,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
418,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
419,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
420,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
421,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
422,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
423,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
424,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
425,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
426,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
427,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
428,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
429,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
311,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
430,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
431,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
432,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
433,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
434,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
435,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
436,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
437,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
438,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
439,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
440,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
441,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
442,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
443,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
444,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
445,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
446,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
447,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
448,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
449,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
450,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
451,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
452,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
453,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
454,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
455,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
456,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
457,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
458,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
459,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
460,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
461,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
462,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
463,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
464,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
465,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
466,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
467,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
468,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
469,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
470,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
471,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
472,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
473,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
474,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
475,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
476,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
477,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
478,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
479,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
480,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
481,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
482,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
483,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
484,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
485,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
486,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
487,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
488,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
489,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
490,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
491,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
492,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
493,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
494,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
495,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
496,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
497,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
498,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
499,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
500,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
501,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
502,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
503,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
504,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
505,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
506,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
507,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
508,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
509,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
510,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
511,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
512,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
513,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
514,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
515,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
516,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
517,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
518,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
519,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
520,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
521,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
522,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
523,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
524,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
525,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
526,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
527,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
528,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
529,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
530,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
531,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
532,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
533,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
534,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
535,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
536,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
537,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
538,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
539,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
540,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
541,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
542,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
543,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
544,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
545,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
546,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
547,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
548,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
549,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
550,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
551,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
552,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
553,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
554,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
555,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
556,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
557,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
558,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
559,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
560,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
561,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
562,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
563,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
564,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
565,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
566,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
567,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
568,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
569,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
570,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
571,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
572,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
573,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
574,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
575,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
576,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
577,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
578,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
579,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
580,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
581,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
582,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
583,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
584,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
585,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
586,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
587,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
588,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
589,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
590,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
591,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
592,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
593,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
594,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
595,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
596,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
597,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
598,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
599,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
600,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
601,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
602,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
603,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
604,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
605,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
606,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
607,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
608,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
609,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
610,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
611,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
612,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
613,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
614,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
615,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
616,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
617,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
618,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
619,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
620,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
621,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
622,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
623,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
624,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
625,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
626,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
627,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
628,lrclib,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
629,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
630,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
631,lyrics.ovh,pilot-import,2026-08-04,fetched by the pilot study before 2026-04
