Keyword,Run,Song
alcohol-as-coping,run2,707
alcohol-as-coping,run2,763
alcohol-as-escape,run1,322
alcohol-as-escape,run1,571
alcohol-as-escape,run1,623
alcohol-as-escape,run1,677
alcohol-as-escape,run1,690
alcohol-as-escape,run1,698
alcohol-as-escape,run1,707
alcohol-as-escape,run1,858
alcohol-as-escape,run2,303
alcohol-as-escape,run2,322
alcohol-as-escape,run2,623
alcohol-as-escape,run2,677
alcohol-as-escape,run2,690
alcohol-as-escape,run2,698
alcohol-as-escape,run2,858
alcohol-as-liquid-courage,run1,243
alcohol-as-liquid-courage,run2,243
alcohol-failing-as-remedy,run1,800
alcohol-failing-as-remedy,run2,800
alcohol-fueled-confession,run1,210
alcohol-fueled-conflict,run1,635
alcohol-fueled-conflict,run2,635
alcohol-fueled-honesty,run2,210
alcohol-fueled-longing,run1,532
alcohol-fueled-longing,run2,532
alcohol-intoxication,run1,117
alcohol-intoxication,run2,117
alcoholism-and-self-destruction,run1,702
alcoholism-and-self-destruction,run2,702
alien-abduction-metaphor,run1,803
alien-abduction-metaphor,run2,803
all-consuming-grief,run1,627
all-consuming-grief,run2,627
all-consuming-love,run1,704
all-consuming-love,run1,846
all-consuming-love,run2,149
all-consuming-love,run2,704
all-consuming-love,run2,846
all-night-intimacy,run1,475
all-night-intimacy,run2,475
all-night-lovemaking,run1,89
all-night-lovemaking,run2,89
all-night-passion,run2,154
all-or-nothing-love,run1,300
altered-mental-state,run2,207
ambiguous-relationship,run2,290
ambition-and-achievement,run2,33
ambition-and-aspiration,run1,286
ambition-and-aspiration,run2,286
ambition-and-big-dreams,run2,146
ambition-and-dreaming,run1,146
ambition-and-drive,run1,436
ambition-and-drive,run1,579
ambition-and-drive,run2,436
ambition-and-drive,run2,579
ambition-and-grind,run1,389
ambition-and-growth,run1,311
ambition-and-growth,run2,311
ambition-and-hustle,run1,19
ambition-and-hustle,run1,260
ambition-and-hustle,run1,576
ambition-and-hustle,run2,19
ambition-and-hustle,run2,576
ambition-and-leaving,run2,453
ambition-and-legacy,run1,411
ambition-and-legacy,run2,411
ambition-and-self-determination,run1,78
ambition-and-self-determination,run2,78
ambition-and-success,run1,331
ambition-and-success,run1,476
ambition-and-success,run1,729
ambition-and-success,run2,331
ambition-and-success,run2,476
ambition-and-success,run2,729
ambition-and-success,run2,868
ambition-since-youth,run1,109
ambition-since-youth,run2,109
ambivalence-about-love,run1,822
ambivalence-and-indecision,run2,572
american-identity,run1,237
american-identity,run2,237
amicable-breakup,run1,785
amicable-breakup,run2,785
angelic-imagery,run2,353
angelic-presence,run1,73
angelic-presence,run2,73
angelic-yet-worldly-woman,run1,868
anger-and-rejection,run2,390
anger-and-resentment,run1,460
anger-and-resentment,run1,562
anger-and-resentment,run1,589
anger-at-ex-partner,run1,424
anger-at-ex-partner,run2,424
anger-at-lover,run2,803
animalistic-desire,run1,281
anniversary-of-a-breakup,run1,485
anniversary-of-pain,run2,485
anonymous-fleeting-connection,run2,750
anonymous-intimacy,run1,584
anonymous-intimacy,run2,584
answered-prayer,run1,353
answered-prayer,run1,596
answered-prayer,run2,353
answered-prayer,run2,596
anti-authority-behavior,run2,692
anti-commitment,run2,231
anti-establishment-attitude,run1,231
anti-hero-identity,run2,638
anti-law-enforcement,run1,368
anti-lgbtq-bigotry,run1,310
anti-lgbtq-bigotry,run2,310
anti-police-sentiment,run2,368
anticipating-heartbreak,run1,79
anticipating-heartbreak,run2,79
anticipation,run1,132
anticipation,run2,306
anticipation-and-desire,run1,633
anticipation-and-desire,run2,633
anticipation-and-longing,run1,41
anticipation-and-longing,run2,41
anticipation-and-waiting,run2,51
anticipation-of-intimacy,run1,451
anticipation-of-intimacy,run2,451
anxiety-and-fear,run1,731
anxiety-and-fear,run2,731
anxiety-and-mental-struggle,run1,829
anxiety-and-mental-struggle,run2,829
anxiety-and-overthinking,run2,755
anxiety-and-overwhelm,run1,341
anxiety-and-overwhelm,run2,341
anxiety-and-overwhelm,run2,441
anxiety-and-panic,run1,233
anxiety-and-panic,run1,441
anxiety-and-panic,run2,233
anxiety-and-worry,run1,724
anxiety-and-worry,run2,724
apocalyptic-ending,run1,179
apocalyptic-ending,run2,179
apocalyptic-fantasy,run1,415
apocalyptic-fantasy,run2,415
apocalyptic-love,run1,772
apocalyptic-love,run2,772
apology-and-desperation,run2,684
apology-and-guilt,run1,684
apology-and-reconciliation,run1,343
apology-and-reconciliation,run2,343
apology-and-regret,run1,243
apology-and-regret,run2,243
appreciation-of-life,run1,126
appreciation-of-life,run2,126
armed-bravado,run1,54
armed-confrontation,run1,457
armed-confrontation,run2,457
armed-lifestyle,run1,144
armed-lifestyle,run2,144
armed-protection,run2,91
armed-readiness,run1,660
armed-readiness,run2,660
armed-self-protection,run1,91
arrogance-of-the-other,run2,479
artificiality-and-performance,run1,703
artificiality-and-performance,run2,703
artist-braggadocio,run1,59
artist-branding-and-legacy,run2,59
artist-confidence,run1,145
artist-confidence,run2,145
artistic-ambition,run1,12
artistic-ambition,run1,160
artistic-ambition,run2,12
artistic-collaboration,run1,443
artistic-collaboration,run2,443
artistic-expression,run1,540
artistic-expression,run2,540
artistic-identity,run2,654
artistic-objectification,run1,720
asking-for-a-clean-break,run2,824
aspiration-and-disappointment,run1,832
aspiring-to-be-worthy,run1,354
aspiring-to-be-worthy,run2,354
atlanta-street-culture,run1,764
atlanta-street-culture,run2,764
atlanta-street-pride,run2,299
atonement-and-debt,run1,663
attention-and-desire,run2,546
attention-seeking,run1,120
attracting-attention,run1,483
attraction-and-admiration,run1,378
attraction-and-being-desired,run1,726
attraction-and-chemistry,run2,482
attraction-and-desire,run1,784
attraction-and-desire,run2,784
attraction-and-keeping-attention,run2,786
attraction-and-keeping-interest,run1,786
attraction-to-a-bad-boy,run2,187
attraction-to-bad-boys,run2,435
attraction-to-bad-girls,run2,422
attraction-to-bad-women,run1,422
attraction-to-danger,run1,750
attraction-to-danger,run2,750
attraction-to-independence,run1,208
attraction-to-trouble,run1,744
attraction-to-unavailable-men,run2,828
attraction-to-women,run2,115
audience-participation,run1,88
audience-participation,run2,88
authentic-identity,run1,320
authentic-identity,run2,320
authenticity,run1,797
authenticity,run2,185
authenticity,run2,797
authenticity-and-credibility,run2,389
authenticity-and-honesty,run2,111
authenticity-and-integrity,run1,230
authenticity-and-integrity,run1,234
authenticity-and-integrity,run2,230
authenticity-and-integrity,run2,234
authenticity-and-loyalty,run2,133
authenticity-and-realness,run1,305
authenticity-and-realness,run1,814
authenticity-and-reputation,run2,305
authenticity-and-self-confidence,run1,92
authenticity-and-self-confidence,run2,92
authenticity-and-vulnerability,run2,671
authenticity-and-wearing-your-heart,run1,450
authenticity-over-fame,run1,607
authenticity-over-fame,run2,607
authenticity-over-image,run2,298
authenticity-over-pretense,run1,488
authenticity-over-pretense,run2,488
authenticity-under-influence,run2,32
authenticity-vs-fakeness,run1,104
authenticity-vs-fakeness,run1,789
authenticity-vs-fakeness,run2,104
authenticity-vs-fakeness,run2,292
authenticity-vs-fakeness,run2,509
authenticity-vs-fakeness,run2,789
authenticity-vs-fakeness,run2,814
authenticity-vs-imitation,run1,111
autumn-and-seasonal-imagery,run2,612
availability-and-desire,run1,464
availability-and-support,run1,43
availability-and-support,run2,43
avoidance-and-denial,run1,80
avoidance-and-denial,run2,80
avoidance-of-commitment,run1,525
avoidance-of-commitment,run2,525
avoidance-of-feelings,run1,471
avoidance-of-feelings,run2,471
avoidance-of-goodbye,run1,415
avoidance-of-goodbye,run2,415
avoidance-of-reminders,run2,683
avoidance-of-shared-memories,run1,648
avoidance-of-the-past,run1,550
avoidance-of-triggers,run1,683
avoiding-bitterness,run1,96
avoiding-bitterness,run2,96
avoiding-commitment,run1,100
avoiding-emotional-attachment,run1,773
avoiding-emotional-attachment,run2,773
avoiding-emotional-vulnerability,run1,408
avoiding-law-enforcement,run1,270
avoiding-law-enforcement,run2,270
avoiding-police,run1,500
avoiding-police,run2,500
avoiding-post-breakup-drama,run2,785
avoiding-vulnerability,run2,408
awakening-and-empowerment,run2,176
awakening-and-empowerment,run2,876
awakening-and-resistance,run1,166
awakening-and-resistance,run2,166
awakening-to-love,run1,94
awakening-to-love,run2,94
awkward-unexpected-encounter,run2,827
bachelor-lifestyle,run1,544
bachelor-lifestyle,run2,544
backing-up-your-words,run2,143
bad-boy-appeal,run1,187
bad-boy-attraction,run1,400
bad-boy-attraction,run2,400
bad-boy-past,run1,799
bad-boy-past,run2,799
bad-boy-persona,run2,269
bad-decisions,run2,356
bad-girl-identity,run1,281
bad-girl-identity,run2,281
bad-girl-image,run2,779
bad-girl-persona,run1,564
bad-girl-persona,run1,779
bad-influences,run1,356
bad-luck-and-misfortune,run1,782
bad-luck-and-misfortune,run2,782
bad-omens,run1,568
bad-omens,run2,568
bad-reputation,run1,77
bad-reputation,run1,857
bad-reputation,run2,857
balancing-ambition-and-pleasure,run2,359
bar-and-music-as-refuge,run2,333
bar-and-music-culture,run1,333
bar-and-nightlife,run1,101
bar-and-nightlife,run1,348
bar-and-nightlife,run2,101
bar-and-nightlife,run2,348
bar-and-nightlife,run2,544
bar-flirtation,run1,782
bar-flirtation,run1,854
bar-flirtation,run2,782
bar-flirtation,run2,854
bar-nightlife-setting,run1,585
bar-party-setting,run1,427
bar-pickup-setting,run1,799
bar-pickup-setting,run2,799
bar-scene,run1,544
bar-scene-as-refuge,run1,800
bar-scene-as-refuge,run2,800
bar-scene-atmosphere,run2,427
bar-scene-atmosphere,run2,585
bar-setting,run1,629
bar-setting,run2,629
barbie-identity,run1,674
barbie-identity,run2,674
bargaining-with-god,run1,567
bargaining-with-god,run2,567
bargaining-with-god,run2,663
basketball-identity,run1,65
basketball-references,run2,65
battle-readiness,run1,853
beach-and-summer-vibes,run1,549
beach-and-tropical-setting,run1,429
beach-and-tropical-setting,run2,429
beach-party,run1,614
beach-party,run2,614
beach-setting,run1,597
beach-setting,run2,597
beauty-and-appearance,run1,338
beauty-and-awe,run2,669
beauty-in-everyday-moments,run2,473
beauty-in-flaws,run2,317
beauty-in-imperfection,run1,317
beauty-in-imperfection,run1,537
beauty-in-imperfection,run2,537
beauty-of-the-beloved,run1,665
beauty-of-the-beloved,run2,665
beauty-standards-critique,run1,78
beauty-standards-critique,run2,78
becoming-ones-parents,run1,599
becoming-ones-parents,run2,599
beef-and-rivalry,run1,230
being-a-better-partner,run2,35
being-at-a-crossroads,run1,606
being-coupled-up,run2,204
being-haunted-by-exes,run1,63
being-ignored,run1,168
being-ignored,run2,168
being-in-the-zone,run1,9
being-kept-guessing,run1,121
being-kept-guessing,run2,121
being-lost-in-love,run2,371
being-loved-authentically,run1,212
being-loved-authentically,run2,212
being-lovestruck,run1,317
being-lovestruck,run2,306
being-lovestruck,run2,317
being-mesmerized,run1,353
being-overwhelmed,run1,610
being-pursued-for-status,run2,616
being-replaced,run1,468
being-saved-by-love,run1,181
being-saved-by-love,run2,181
being-seen-and-invisible,run2,742
being-seen-and-noticed,run2,378
being-stood-up,run1,743
being-stood-up,run2,743
being-taken-advantage-of,run1,616
being-targeted-or-watched,run1,553
being-targeted-or-watched,run2,553
being-the-primary-partner,run2,643
being-the-ride-or-die,run1,643
being-truly-known,run1,536
being-truly-known,run2,536
being-used,run1,259
being-used,run1,399
being-used,run2,259
being-used,run2,399
being-used-for-comfort,run1,705
being-used-for-comfort,run2,705
being-watched,run1,17
being-watched,run2,17
belief-and-wonder,run2,76
belonging,run1,330
belonging,run2,330
belonging-and-exclusivity,run2,505
belonging-and-identity,run1,642
belonging-and-identity,run2,642
belonging-and-initiation,run1,21
belonging-and-possession,run1,512
belonging-and-possession,run2,512
belonging-to-the-outcasts,run2,21
belonging-together,run1,507
belonging-together,run2,465
belonging-with-true-friends,run2,39
betrayal,run1,40
betrayal,run1,135
betrayal,run1,137
betrayal,run1,163
betrayal,run1,189
betrayal,run1,226
betrayal,run1,244
betrayal,run1,280
betrayal,run1,324
betrayal,run1,412
betrayal,run1,433
betrayal,run1,574
betrayal,run2,135
betrayal,run2,137
betrayal,run2,189
betrayal,run2,226
betrayal,run2,280
betrayal,run2,324
betrayal,run2,525
betrayal,run2,574
betrayal-and-broken-promises,run1,176
betrayal-and-broken-promises,run2,176
betrayal-and-cheating,run1,277
betrayal-and-cheating,run2,277
betrayal-and-deception,run1,211
betrayal-and-deception,run1,351
betrayal-and-deception,run1,598
betrayal-and-deception,run1,656
betrayal-and-deception,run1,729
betrayal-and-deception,run1,824
betrayal-and-deception,run2,123
betrayal-and-deception,run2,351
betrayal-and-deception,run2,586
betrayal-and-deception,run2,598
betrayal-and-deception,run2,656
betrayal-and-deception,run2,743
betrayal-and-disappointment,run2,717
betrayal-and-distrust,run2,412
betrayal-and-distrust,run2,484
betrayal-and-fake-people,run1,151
betrayal-and-fake-people,run2,151
betrayal-and-fake-praise,run1,561
betrayal-and-fake-praise,run2,561
betrayal-and-heartbreak,run1,558
betrayal-and-heartbreak,run1,639
betrayal-and-heartbreak,run2,558
betrayal-and-heartbreak,run2,639
betrayal-and-humiliation,run1,262
betrayal-and-humiliation,run2,262
betrayal-and-hurt,run1,4
betrayal-and-hurt,run1,525
betrayal-and-hurt,run2,4
betrayal-and-hurt,run2,217
betrayal-and-infidelity,run1,376
betrayal-and-infidelity,run2,376
betrayal-and-infidelity,run2,433
betrayal-and-ingratitude,run2,163
betrayal-and-lies,run1,792
betrayal-and-lies,run2,792
betrayal-and-loss,run1,484
betrayal-and-loyalty,run1,175
betrayal-and-loyalty,run2,175
betrayal-and-mistrust,run1,123
betrayal-and-replacement,run2,468
betrayal-by-a-close-person,run2,311
betrayal-by-a-friend,run1,556
betrayal-by-a-friend,run2,556
betrayal-by-someone-close,run1,311
betrayal-in-relationships,run2,112
betrayal-of-shared-intimacy,run1,468
betrayal-of-trust,run1,8
betrayal-of-trust,run2,8
betrayal-of-trust,run2,249
betrayal-without-cheating,run1,491
betrayal-without-cheating,run2,491
bible-as-moral-guide,run1,716
bitter-consequences,run2,143
bitter-farewell,run1,795
bitter-farewell,run2,795
bitter-resentment,run1,582
bitter-resentment,run2,582
bitter-sarcasm,run1,460
bitter-well-wishing,run1,376
bitter-well-wishing,run2,376
bitterness-and-resentment,run2,460
bittersweet-attraction,run2,744
bittersweet-farewell,run1,187
bittersweet-longing,run1,851
bittersweet-nostalgia,run2,851
bittersweet-summer,run1,647
black-economic-empowerment,run1,237
black-economic-empowerment,run2,237
blame-and-accountability,run1,137
blame-shifting,run1,332
blame-shifting,run1,809
blame-shifting,run2,137
blame-shifting,run2,332
blame-shifting,run2,809
blaming-an-ex,run1,289
blaming-the-ex,run2,289
blaming-the-lover,run1,207
blaming-upbringing,run2,828
blessing-and-destiny,run1,652
blind-love,run1,280
blind-love,run2,280
blind-love,run2,394
blocking-and-digital-rejection,run2,741
boastful-self-confidence,run1,520
boastful-self-confidence,run1,862
boasting-and-superiority,run1,788
boasting-and-superiority,run2,788
bodily-autonomy,run1,797
bodily-autonomy,run2,797
body-admiration,run2,107
body-confidence,run1,308
body-confidence,run1,327
body-confidence,run1,444
body-confidence,run1,504
body-confidence,run2,308
body-confidence,run2,388
body-confidence,run2,444
body-confidence,run2,475
body-confidence,run2,504
body-confidence,run2,604
body-confidence-and-physical-appeal,run1,778
body-confidence-and-physical-appeal,run2,778
body-confidence-and-sexuality,run1,671
body-exploration,run2,102
body-heat-and-desire,run2,681
body-image-and-self-doubt,run1,224
body-image-and-self-doubt,run2,224
body-image-insecurity,run1,128
body-image-insecurity,run2,128
body-movement,run1,326
body-movement,run2,326
body-positivity,run1,483
body-positivity,run1,767
body-positivity-and-natural-beauty,run1,104
body-pride,run1,600
body-pride,run1,796
body-pride,run2,600
body-swapping,run1,240
body-swapping,run2,240
booking-and-fame,run2,242
boredom-as-motivation,run2,307
boss-mentality,run1,242
boss-mentality,run1,554
boss-mentality,run1,662
boss-mentality,run2,292
boss-mentality,run2,554
boundary-setting,run1,214
boundary-setting,run2,214
boundary-setting,run2,479
bounty-on-head,run1,266
bounty-on-head,run2,266
braggadocio,run1,154
braggadocio-and-rivalry,run2,255
breaking-free,run1,224
breaking-free,run2,224
breaking-free,run2,869
breaking-limits,run2,151
breaking-personal-boundaries,run2,285
breaking-silence,run1,3
breaking-unhealthy-patterns,run1,205
breaking-unhealthy-patterns,run2,205
breakup,run1,125
breakup,run1,486
breakup,run1,562
breakup,run2,125
breakup-aftermath,run1,428
breakup-aftermath,run2,428
breakup-and-closure,run2,26
breakup-and-heartbreak,run1,883
breakup-and-loss,run1,322
breakup-and-moving-on,run1,26
breakup-and-moving-on,run1,262
breakup-and-moving-on,run1,598
breakup-and-moving-on,run1,648
breakup-and-moving-on,run1,717
breakup-and-moving-on,run2,262
breakup-and-moving-on,run2,486
breakup-and-moving-on,run2,598
breakup-and-moving-on,run2,648
breakup-and-moving-on,run2,717
breakup-and-reconciliation,run1,635
breakup-and-separation,run1,202
breakup-and-separation,run1,790
breakup-and-separation,run1,881
breakup-and-separation,run2,790
breakup-and-separation,run2,881
breakup-anger,run1,508
breakup-anger,run2,508
breakup-anger,run2,562
breakup-finality,run1,824
breakup-pain,run1,490
breakup-regret,run1,431
breakup-regret,run2,431
breathless-desire,run1,204
breathless-passion,run2,204
brief-intense-love-affair,run1,739
brief-intense-love-affair,run2,739
brief-romance,run2,597
broken-family,run1,698
broken-identity,run1,516
broken-identity,run2,516
broken-promises,run1,220
broken-promises,run1,223
broken-promises,run1,226
broken-promises,run1,460
broken-promises,run1,463
broken-promises,run1,467
broken-promises,run1,611
broken-promises,run1,626
broken-promises,run1,743
broken-promises,run1,824
broken-promises,run2,220
broken-promises,run2,223
broken-promises,run2,226
broken-promises,run2,460
broken-promises,run2,463
broken-promises,run2,467
broken-promises,run2,611
broken-promises,run2,626
broken-promises,run2,698
broken-promises,run2,731
broken-promises,run2,824
broken-relationship,run1,217
broken-relationship,run2,217
broken-relationship,run2,742
broken-trust,run1,491
broken-trust,run1,543
broken-trust,run2,543
brokenness-and-healing,run1,866
brokenness-and-healing,run2,866
brotherhood,run1,99
brotherhood-and-coping,run2,202
brotherhood-and-family,run1,777
brotherhood-and-family,run2,777
brotherhood-and-hood-ties,run1,618
brotherhood-and-hood-ties,run2,618
brotherly-bond-and-shared-memory,run1,5
building-a-new-foundation,run2,580
building-anticipation,run2,132
burden-of-expectation,run1,592
burden-of-expectation,run2,592
business-acumen,run2,238
busy-schedule-and-demand,run1,213
busy-schedule-and-demand,run2,213
call-and-response,run1,88
call-and-response,run2,88
call-for-peace,run2,310
call-to-action,run1,434
call-to-action,run2,434
calling-out-a-cheater,run1,586
calling-out-a-cheater,run1,598
calling-out-a-cheater,run2,598
calling-out-a-player,run2,586
calling-out-fake-beef,run1,719
calling-out-fake-gangsters,run2,297
calling-out-fake-opponents,run1,358
calling-out-fake-opponents,run2,358
calling-out-fake-people,run1,148
calling-out-fake-people,run1,815
calling-out-fake-people,run2,148
calling-out-fake-people,run2,811
calling-out-fake-toughness,run1,492
calling-out-fake-toughness,run2,492
calling-out-fake-women,run1,338
calling-out-fakers,run2,230
camaraderie-and-brotherhood,run1,607
camaraderie-and-brotherhood,run2,607
campfire-gathering,run1,533
campfire-gathering,run2,533
cancel-culture-defiance,run1,753
cancel-culture-defiance,run2,753
canceling-plans,run2,437
capturing-fleeting-moments,run1,83
capturing-fleeting-moments,run2,83
career-ambition,run2,801
career-dedication,run1,377
career-vs-love,run2,558
carefree-abandon,run1,14
carefree-attitude,run1,77
carefree-attitude,run1,185
carefree-attitude,run1,278
carefree-attitude,run1,411
carefree-attitude,run1,579
carefree-attitude,run1,644
carefree-attitude,run1,657
carefree-attitude,run1,730
carefree-attitude,run2,171
carefree-attitude,run2,185
carefree-attitude,run2,411
carefree-attitude,run2,579
carefree-attitude,run2,644
carefree-attitude,run2,646
carefree-attitude,run2,657
carefree-attitude,run2,723
carefree-attitude,run2,730
carefree-escape,run2,669
carefree-escapism,run1,429
carefree-escapism,run1,456
carefree-escapism,run2,429
carefree-escapism,run2,456
carefree-euphoria,run1,347
carefree-euphoria,run2,347
carefree-female-energy,run2,854
carefree-fun,run1,11
carefree-fun,run1,533
carefree-fun,run2,11
carefree-fun,run2,533
carefree-good-time,run1,662
carefree-good-time,run2,662
carefree-intimacy,run1,222
carefree-joy,run1,542
carefree-joy,run1,573
carefree-joy,run2,542
carefree-joy,run2,573
carefree-joy,run2,837
carefree-lifestyle,run1,10
carefree-lifestyle,run1,70
carefree-lifestyle,run1,263
carefree-lifestyle,run1,518
carefree-lifestyle,run2,70
carefree-lifestyle,run2,518
carefree-nightlife,run1,723
carefree-recklessness,run1,171
carefree-social-atmosphere,run2,256
carefree-spending,run1,115
carefree-spontaneity,run1,250
carefree-spontaneity,run2,250
carefree-spontaneity,run2,573
carefree-summer-mood,run2,384
carefree-togetherness,run2,871
carefree-vibing,run1,209
caregiving-and-nurturing,run1,354
caroling-and-song,run1,541
carpe-diem,run1,42
cash-and-nightlife,run1,492
cash-and-no-credit,run1,403
cash-only-mentality,run1,147
cash-only-mentality,run2,147
casual-closeness,run2,294
casual-convenience,run1,294
casual-encounters,run1,48
casual-hookup,run1,584
casual-hookup,run2,464
casual-hookup,run2,584
casual-hookups-and-situationships,run2,390
casual-physical-relationship,run1,570
casual-relationship,run1,13
casual-relationship,run1,820
casual-relationship,run2,13
casual-relationship,run2,17
casual-relationship,run2,820
casual-relationship-boundaries,run2,408
casual-relationship-dynamics,run2,570
casual-relationship-pain,run1,834
casual-relationship-pain,run2,834
casual-relationships,run1,410
casual-relationships,run1,435
casual-relationships,run2,126
casual-relationships,run2,410
casual-relationships,run2,435
casual-relationships-as-coping,run1,813
casual-relationships-as-coping,run2,813
casual-relationships-with-women,run1,509
casual-romance,run1,17
casual-romance,run1,292
casual-romance,run2,100
casual-romance,run2,292
casual-sex,run1,715
casual-sex,run1,773
casual-sex,run2,715
casual-sex,run2,773
casual-sexual-conquest,run1,218
casual-sexual-conquest,run2,218
casual-sexual-encounter,run1,464
casual-sexual-encounters,run1,231
casual-sexual-encounters,run2,231
casual-vs-deep-feelings,run1,81
casual-vs-deep-feelings,run2,81
caution-in-love,run1,183
caution-in-love,run2,183
cautious-optimism,run2,194
celebrating-a-lover,run1,596
celebrating-sexuality,run1,308
celebration-and-confidence,run1,804
celebration-and-euphoria,run1,401
celebration-and-euphoria,run2,401
celebration-and-excitement,run2,18
celebration-and-excitement,run2,417
celebration-and-freedom,run1,580
celebration-and-fun,run1,326
celebration-and-fun,run2,326
celebration-and-good-times,run2,804
celebration-and-hype,run1,186
celebration-and-hype,run2,186
celebration-and-letting-go,run1,559
celebration-and-letting-go,run2,559
celebration-and-letting-loose,run1,395
celebration-and-letting-loose,run2,395
celebration-and-living-it-up,run1,646
celebration-and-luxury,run1,236
celebration-and-luxury,run2,236
celebration-and-partying,run1,644
celebration-and-partying,run1,872
celebration-and-partying,run2,14
celebration-and-partying,run2,262
celebration-and-partying,run2,644
celebration-and-romance,run2,596
celebration-of-achievement,run2,109
celebration-of-relationship,run1,625
celebratory-boasting,run2,752
celebrity-and-pop-culture-references,run2,255
celebrity-and-public-attention,run1,736
celebrity-culture,run1,69
celebrity-culture,run2,69
celebrity-culture-critique,run1,320
celebrity-culture-critique,run2,320
celebrity-excess,run1,566
celebrity-fantasy,run1,240
celebrity-fantasy,run2,18
celebrity-fantasy,run2,240
celebrity-isolation,run1,238
