Song,Artist Credit,Keyword,Quote
"10,000 Hours",Dan + Shay & Justin Bieber,loyalty-and-relationships,"If it's 10,000 hours or the rest of my life"
"10,000 Hours",Dan + Shay & Justin Bieber,nostalgia-and-longing,Do you miss the road that you grew up on?
"10,000 Hours",Dan + Shay & Justin Bieber,relentless-ambition,"I'd spend 10,000 hours and 10,000 more"
"10,000 Hours",Dan + Shay & Justin Bieber,romantic-pursuit,"I'd spend 10,000 hours and 10,000 more"
"10,000 Hours",Dan + Shay & Justin Bieber,small-town-roots-and-identity,Do you miss the road that you grew up on?
"10,000 Hours",Dan + Shay & Justin Bieber,surrender-and-sacrifice,"Oh, if that's what it takes to learn that sweet heart of yours"
2 Phones,Kevin Gates,alcohol-and-substance-abuse,Brick comin' in somewhere on the rim
2 Phones,Kevin Gates,ambition-and-self-determination,"Bread winner business, put that on the wrist"
2 Phones,Kevin Gates,avoiding-commitment,"Money callin' for me, baby girl I'm sorry"
2 Phones,Kevin Gates,confidence-and-self-assurance,"Button start the foreign, oh my God I'm gorgeous"
2 Phones,Kevin Gates,criminal-secrecy,"Askin' what I cop, none of your concern"
2 Phones,Kevin Gates,desire-and-lust,"Amazing clip, hanging, slanging dick|Engagin' where I'm gazin' at her hips"
2 Phones,Kevin Gates,dominance-and-power,"Trap jumpin' I'm ring, ring, ringin'"
2 Phones,Kevin Gates,false-friendship,"There they go again, one of my lil friends\nThey don't give a damn how a nigga been"
2 Phones,Kevin Gates,flirtation-and-seduction,Maybe we can make it takin' trips
2 Phones,Kevin Gates,haters-and-critics,"Hater, wish you well"
2 Phones,Kevin Gates,hustle-and-money,"Countin' money while they ring, ring, ringin'"
2 Phones,Kevin Gates,luxury-and-fashion,"It might not get to see, this a new Ferrari"
2 Phones,Kevin Gates,rejection-of-women,You just side yelling you not that important
2 Phones,Kevin Gates,self-confidence-and-braggadocio,I got clientele
2 Phones,Kevin Gates,street-loyalty-and-danger,"Juggin' round the city, you know what it is|Partners up in jail, gotta feed the kids"
2 Phones,Kevin Gates,wealth-and-flexing,"Bread winner business, put that on the wrist|I got two phones, one for the plug and one for the load"
2 Phones,Kevin Gates,wealth-and-material-success,"Button start the foreign, oh my God I'm gorgeous|Droppin' bottles spin hustlin' I'm supplin' 10|I just got it off the scale"
20 Cigarettes,Morgan Wallen,alcohol-and-substance-abuse,"She was drinkin' Cheetos, said I better slow down"
20 Cigarettes,Morgan Wallen,attraction-and-admiration,Said she loved my accent so I kept talkin'
20 Cigarettes,Morgan Wallen,avoiding-commitment,"We were both lyin', said we'd never do this"
20 Cigarettes,Morgan Wallen,betrayal-and-cheating,He was probably somewhere around too
20 Cigarettes,Morgan Wallen,carefree-escapism,"Naked in my truck bed, so I helped her with the rest"
20 Cigarettes,Morgan Wallen,cherishing-the-present-moment,"One hell of a night, one hell of a pack"
20 Cigarettes,Morgan Wallen,deception-and-distrust,"We were both lyin', said we'd never do this"
20 Cigarettes,Morgan Wallen,denial-and-self-deception,"We were both lyin', said we'd never do this"
20 Cigarettes,Morgan Wallen,desire-and-lust,"Naked in my truck bed, so I helped her with the rest"
20 Cigarettes,Morgan Wallen,flirtation-and-seduction,Said she loved my accent so I kept talkin'
20 Cigarettes,Morgan Wallen,human-connection,"She was sayin' my name, barely even knew it"
20 Cigarettes,Morgan Wallen,impermanence,"Blew it in the sky, she was gone like that"
20 Cigarettes,Morgan Wallen,intimacy-and-connection,We had a beer bottle lookin' like an ashtray
20 Cigarettes,Morgan Wallen,love-as-fleeting-and-transient,"Blew it in the sky, she was gone like that"
20 Cigarettes,Morgan Wallen,nighttime-revelry,Under that full moon she was 'bout halfway|We told off to light the night we had lived
20 Cigarettes,Morgan Wallen,partying-and-nightlife,Twenty cigarettes and I lit me one|We told off to light the night we had lived
20 Cigarettes,Morgan Wallen,relationship-complications,"He was probably somewhere around too|We were both lyin', said we'd never do this"
20 Cigarettes,Morgan Wallen,romantic-pursuit,Reached for the pack on the table by my wallet
20 Cigarettes,Morgan Wallen,sensual-desire,"Naked in my truck bed, so I helped her with the rest"
20 Cigarettes,Morgan Wallen,small-town-roots-and-identity,"She was with her friends, left her standin' there"
20 Cigarettes,Morgan Wallen,summer-as-metaphor,There was more than smoke on that summer air
24K Magic,Bruno Mars,attraction-and-admiration,So many pretty girls around me
24K Magic,Bruno Mars,carefree-escapism,Don't fight the feeling|Don't fight the feeling\nInvite the feeling
24K Magic,Bruno Mars,celebration-and-partying,Let's set this party off right
24K Magic,Bruno Mars,confidence-and-self-assurance,I'm a dangerous man|I'm a dangerous man\nWith some money in my pocket (keep up)
24K Magic,Bruno Mars,dancing-and-movement,Watch me break it down like (uh)
24K Magic,Bruno Mars,desire-and-lust,And they waking up the rocket (keep up)|So many pretty girls around me\nAnd they waking up the rocket (keep up)
24K Magic,Bruno Mars,dominance-and-power,I gotta show 'em how a pimp get it in|Known to give the color red the blues
24K Magic,Bruno Mars,fame-and-status,"Everywhere I go they be like|Everywhere I go they be like\nOh, so player"
24K Magic,Bruno Mars,flirtation-and-seduction,"Girls, what y'all trying to do?"
24K Magic,Bruno Mars,haters-and-critics,Why you mad? Fix ya face|Why you mad? Fix ya face\nAin't my fault that y'all be jocking (keep up)
24K Magic,Bruno Mars,hustle-and-money,Second verse for the hustlas (hustlas)|Spend your money like money ain't shit|With some money in my pocket (keep up)
24K Magic,Bruno Mars,luxury-and-fashion,Wearing cuban links (ya)|Wearing cuban links (ya)\nDesigner minks (ya)
24K Magic,Bruno Mars,music-as-entertainment,"Guess who's back again?|Pop pop, it's show time (show time)"
24K Magic,Bruno Mars,nighttime-revelry,Tonight|Tonight\nI just want to take you higher
24K Magic,Bruno Mars,partying-and-nightlife,"Pop pop, it's show time (show time)|Twenty-four karat magic in the air|Twenty-four karat magic in the air\nHead to toe, so player"
24K Magic,Bruno Mars,self-confidence-and-braggadocio,"Guess who's back again?|Head to toe, so player|Twenty-four karat magic in the air\nHead to toe, so player"
24K Magic,Bruno Mars,showing-off-and-impressing,"I bet they know soon as we walk in (showin' up)|Inglewood's finest shoes (whoop, whoop)|Twenty-four karat magic in the air"
24K Magic,Bruno Mars,wealth-and-flexing,"Players, put your pinky rings up to the Moon|Spend your money like money ain't shit"
24K Magic,Bruno Mars,wealth-and-material-success,"Designer minks (ya)|Inglewood's finest shoes (whoop, whoop)|Put your pinky rings up to the Moon"
30 For 30,SZA With Kendrick Lamar,ambition-and-self-determination,"I run it up, risk it all like I'm rolling dice"
30 For 30,SZA With Kendrick Lamar,authenticity-and-honesty,Only want your love if it's solid
30 For 30,SZA With Kendrick Lamar,avoiding-commitment,"I love side thing, but right now, he's just the homie"
30 For 30,SZA With Kendrick Lamar,confidence-and-self-assurance,"I get this type of feeling you ain't accustomed to|They salute me so damn much, every time I show up, nigga hut, 'bout-face"
30 For 30,SZA With Kendrick Lamar,deception-and-distrust,Is this really your real phone number?
30 For 30,SZA With Kendrick Lamar,defiance-and-rebellion,"But if it's fuck me, then fuck you (Huh)"
30 For 30,SZA With Kendrick Lamar,dominance-and-power,I'm wipin' 'em down in front of they nigga
30 For 30,SZA With Kendrick Lamar,false-friendship,Some of y'all just gon' pop shit
30 For 30,SZA With Kendrick Lamar,female-empowerment,"Somethin' about a conservative, regular girl that still can beat a bitch ass"
30 For 30,SZA With Kendrick Lamar,haters-and-critics,Some of y'all just gon' talk (Talk)
30 For 30,SZA With Kendrick Lamar,hidden-emotional-struggle,"I swear I'd be at peace if it weren't for you (Yeah, yeah)"
30 For 30,SZA With Kendrick Lamar,independence-and-self-reliance,"Thorough as fuck, don't need your bitch ass"
30 For 30,SZA With Kendrick Lamar,loneliness-and-isolation,"When the sun go down, everything make me feel lonely, yeah"
30 For 30,SZA With Kendrick Lamar,luxury-and-fashion,Do I take his head off and wear it for fashion?
30 For 30,SZA With Kendrick Lamar,partner-inadequacy,"Tryna feel good inside, he never wanna hold me"
30 For 30,SZA With Kendrick Lamar,predatory-threat,"Should I dead that nigga, no strings attached?|Should I fold that bitch, no yoga mat?"
30 For 30,SZA With Kendrick Lamar,relationship-complications,"I love side thing, but right now, he's just the homie"
30 For 30,SZA With Kendrick Lamar,reputation-and-gossip,"Chat, they chattin', they chattin', they chat"
30 For 30,SZA With Kendrick Lamar,rivalry-and-superiority,"Walk, talk like Kendrick, like boss|You fuckin' with niggas that's thinkin' they cuter than you, oh"
30 For 30,SZA With Kendrick Lamar,self-confidence-and-braggadocio,"They salute me so damn much, every time I show up, nigga hut, 'bout-face|Walk, talk like Kendrick, like boss"
30 For 30,SZA With Kendrick Lamar,toxic-relationship,"I swear I'd be at peace if it weren't for you (Yeah, yeah)"
30 For 30,SZA With Kendrick Lamar,violence-and-street-danger,"Do I take his head off and wear it for fashion?|Should I dead that nigga, no strings attached?|Should I dead that nigga? Don't hit me back"
30 For 30,SZA With Kendrick Lamar,women-power,"Ain't huggin' or smilin' for none of these bitches|I'm thirty for thirty, I'm thirty for thirty, I'm thirty for thirty, I'm thirty for thirty, I'm|Somethin' about a conservative, regular girl that still can beat a bitch ass"
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,addiction-and-obsession,You might think I'm crazy\nThe way I been craving
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,cherishing-the-present-moment,But who's counting the time when we got it for life (Got it for life)
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,desire-and-lust,Fuck me 'til the daylight
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,dominance-and-power,Even though I'm wifey you can hit it like a side chick
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,female-empowerment,"Baby, you might need a seatbelt when I ride it"
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,flirtation-and-seduction,"So what you doing tonight?\nBetter say ""Doing you right"""
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,intimacy-and-connection,I know all your favorite spots (Favorite spots)
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,nighttime-revelry,We started at midnight
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,self-confidence-and-braggadocio,"Got the neighbors yelling ""Earthquake"" (Earthquake)"
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,sensual-desire,Can you stay up all night?
5 Foot 9,Tyler Hubbard,alcohol-and-substance-abuse,"Jack makes good whiskey, yeah"
5 Foot 9,Tyler Hubbard,attraction-and-admiration,"5 foot 9, brown eyes in a sundress"
5 Foot 9,Tyler Hubbard,cherishing-the-present-moment,And I thank Him every time I close my eyes
5 Foot 9,Tyler Hubbard,dancing-and-movement,The way she dances with the raindrops
5 Foot 9,Tyler Hubbard,devotion,God made her so I'ma make sure\nHe didn't waste an angel on me
5 Foot 9,Tyler Hubbard,faith-and-spirituality,But God makes the good stuff
5 Foot 9,Tyler Hubbard,gratitude-and-appreciation,And I thank Him every time I close my eyes
5 Foot 9,Tyler Hubbard,idealized-beauty,"5 foot 9, brown eyes in a sundress"
5 Foot 9,Tyler Hubbard,intimacy-and-connection,Like that sweet little kiss she lays on me
5 Foot 9,Tyler Hubbard,music-as-entertainment,Country makes good music
5 Foot 9,Tyler Hubbard,small-town-roots-and-identity,Loves Tim McGraw and a small-town accent
679,Fetty Wap Featuring Remy Boyz,alcohol-and-substance-abuse,"I smoke twenty, smell the weed"
679,Fetty Wap Featuring Remy Boyz,attraction-and-admiration,"I'm like, yeah, she's fine"
679,Fetty Wap Featuring Remy Boyz,confidence-and-self-assurance,And I got this sewed up
679,Fetty Wap Featuring Remy Boyz,desire-and-lust,I'm tryna know if I could hit it from behind though
679,Fetty Wap Featuring Remy Boyz,dominance-and-power,No one can control us
679,Fetty Wap Featuring Remy Boyz,flirtation-and-seduction,"She a cutie and she fine, make me wanna make her mine"
679,Fetty Wap Featuring Remy Boyz,hustle-and-money,"All fast money, no slow bucks"
679,Fetty Wap Featuring Remy Boyz,idealized-beauty,"Baby girl, you're so damn fine though"
679,Fetty Wap Featuring Remy Boyz,loyalty-and-relationships,"Remy Boyz, they know us"
679,Fetty Wap Featuring Remy Boyz,luxury-and-fashion,I traded in my Trues for some Robins
679,Fetty Wap Featuring Remy Boyz,romantic-pursuit,"I'm bouta spoil her, got her with the happy feel|Wonder when she'll be mine"
679,Fetty Wap Featuring Remy Boyz,self-confidence-and-braggadocio,Benjamins all in my pocket
679,Fetty Wap Featuring Remy Boyz,sensual-desire,I'm sipping on you like some fine wine though
679,Fetty Wap Featuring Remy Boyz,showing-off-and-impressing,"I got a Glock in my 'Rari, ay, 17 shots, no 38 ay|Thousand dollars when I get my tip on"
679,Fetty Wap Featuring Remy Boyz,street-loyalty-and-danger,"And if somebody got a problem, we could meet up anywhere|I got a Glock in my 'Rari, ay, 17 shots, no 38 ay"
679,Fetty Wap Featuring Remy Boyz,violence-and-street-danger,"He playing Batman, Fetty's gon rob him, ay"
679,Fetty Wap Featuring Remy Boyz,wealth-and-flexing,"I got robins on my jeans, you see the wings on every pair|Thousand dollars when I get my tip on"
679,Fetty Wap Featuring Remy Boyz,wealth-and-material-success,"I got a Glock in my 'Rari, 17 shots, no 38|I got hunnies in my V|You talking bands, girl, I got it"
7 Rings,Ariana Grande,addiction-and-obsession,Think retail therapy my new addiction
7 Rings,Ariana Grande,ambition-and-self-determination,"Write my own checks like I write what I sing, yeah"
7 Rings,Ariana Grande,avoiding-commitment,"Wearing a ring, but ain't gon' be no Mrs"
7 Rings,Ariana Grande,confidence-and-self-assurance,"My smile is beamin', my skin is gleamin'"
7 Rings,Ariana Grande,defiance-and-rebellion,Rather be tied up with cuffs and not strings
7 Rings,Ariana Grande,female-empowerment,Bought matching diamonds for six of my bitches|Whoever said money can't solve your problems
7 Rings,Ariana Grande,hustle-and-money,"I got my receipts, be lookin' like phone numbers"
7 Rings,Ariana Grande,independence-and-self-reliance,Buy myself all of my favorite things (yeah)
7 Rings,Ariana Grande,loyalty-and-relationships,Bought matching diamonds for six of my bitches|I'd rather spoil all my friends with my riches
7 Rings,Ariana Grande,luxury-and-fashion,breakfast at Tiffany's and bottles of bubbles
7 Rings,Ariana Grande,overcoming-hardship,"Been through some bad shit, I should be a sad bitch"
7 Rings,Ariana Grande,resilience-and-strength,Who woulda thought it'd turn me to a savage?
7 Rings,Ariana Grande,rising-to-success,"Shoot, go from the store to the booth"
7 Rings,Ariana Grande,self-confidence-and-braggadocio,"Look at my neck, look at my jet"
7 Rings,Ariana Grande,showing-off-and-impressing,"My wrist, stop watchin', my neck is flossin'"
7 Rings,Ariana Grande,wealth-and-flexing,Black card is my business card
7 Rings,Ariana Grande,wealth-and-material-success,I bought a crib just for the closet|Whoever said money can't solve your problems
7 Rings,Ariana Grande,women-power,Ain't got enough money to pay me respect|I'd rather spoil all my friends with my riches
7 Years,Lukas Graham,alcohol-and-substance-abuse,"By eleven, smoking herb and drinking burning liquor"
7 Years,Lukas Graham,ambition-and-self-determination,"I only see my goals, I don't believe in failure"
7 Years,Lukas Graham,authenticity-and-honesty,'Cause only those I really love will ever really know me
7 Years,Lukas Graham,community-and-togetherness,"I got my boys with me, at least those in favor"
7 Years,Lukas Graham,family-and-distance,I hope my children come and visit once or twice a month
7 Years,Lukas Graham,family-and-fatherhood,My woman brought children for me
7 Years,Lukas Graham,guilt-and-apology,"And some I had to leave behind, my brother, I'm still sorry"
7 Years,Lukas Graham,hope-and-optimism,Or will I have a lot of children who can warm me?|Remember life and then your life becomes a better one
7 Years,Lukas Graham,hustle-and-money,"Never rich, so we were out to make that steady figure"
7 Years,Lukas Graham,legacy-and-family,I hope my children come and visit once or twice a month|So I can sing them all my songs and I can tell them stories
7 Years,Lukas Graham,loneliness-and-isolation,"Go make yourself some friends, or you'll be lonely"
7 Years,Lukas Graham,mortality-and-death,"Soon I'll be sixty years old, my daddy got sixty-one"
7 Years,Lukas Graham,nostalgia-and-longing,"Once, I was seven years old, my mama told me"
7 Years,Lukas Graham,personal-growth-and-change,I'm still learning about life
7 Years,Lukas Graham,regret-and-reflection,"Remember life and then your life becomes a better one|Soon I'll be sixty years old, will I think the world is cold?"
7 Years,Lukas Graham,rising-to-success,"Once, I was twenty years old, my story got told"
7 Years,Lukas Graham,youth-and-coming-up,"It was a big, big world, but we thought we were bigger"
A Bar Song (Tipsy),Shaboozey,addiction-and-obsession,They know me and Jack Daniels got a history
A Bar Song (Tipsy),Shaboozey,alcohol-and-substance-abuse,Someone pour me up a double shot of whiskey
A Bar Song (Tipsy),Shaboozey,authenticity-and-honesty,I've been Boozey since I've left\nI ain't changing for a check
A Bar Song (Tipsy),Shaboozey,carefree-escapism,"I can't worry about my problems, I can't take 'em when I'm gone"
A Bar Song (Tipsy),Shaboozey,celebration-and-partying,"There's a party downtown, near 5th Street"
A Bar Song (Tipsy),Shaboozey,dancing-and-movement,"Two stepping on the table, she don't need a dance floor"
A Bar Song (Tipsy),Shaboozey,defiance-and-rebellion,I ain't changing for a check|I've been Boozey since I've left\nI ain't changing for a check
A Bar Song (Tipsy),Shaboozey,family-and-distance,"Tell my ma', I ain't forget (oh Lord)"
A Bar Song (Tipsy),Shaboozey,hustle-and-money,"This 9 to 5 ain't working, why the hell do I work so hard?"
A Bar Song (Tipsy),Shaboozey,luxury-and-fashion,My baby want a Birkin
A Bar Song (Tipsy),Shaboozey,nighttime-revelry,"Everybody at the bar getting tipsy|When it's last call, and they kick us out the door"
A Bar Song (Tipsy),Shaboozey,partying-and-nightlife,"Everybody at the bar getting tipsy|It's getting kind of late, but the ladies want some more"
A Bar Song (Tipsy),Shaboozey,societal-pressure,"Gasoline and groceries, the list goes on and on"
A Holly Jolly Christmas,Burl Ives,celebration-and-partying,"Have a holly, jolly Christmas"
A Holly Jolly Christmas,Burl Ives,community-and-togetherness,Say hello to friends you know
A Holly Jolly Christmas,Burl Ives,flirtation-and-seduction,Kiss her once for me
A Holly Jolly Christmas,Burl Ives,hope-and-optimism,It's the best time of the year
A Holly Jolly Christmas,Burl Ives,human-connection,And everyone you meet
A Holly Jolly Christmas,Burl Ives,reassurance-and-comfort,And in case you didn't hear
A Lot,21 Savage,ambition-and-self-determination,"Cole on a mission, cementin' the spot as the greatest who did it"
A Lot,21 Savage,authenticity-and-honesty,I was never one for the bragging and boasting
A Lot,21 Savage,betrayal-and-cheating,"Then you went and wrote a statement, and that really fucked me up"
A Lot,21 Savage,confidence-and-self-assurance,I'm batting a thousand
A Lot,21 Savage,criminal-secrecy,Told my brothers take my breath if I turn to a snitch
A Lot,21 Savage,deception-and-distrust,How many faking they streams? (A lot)
A Lot,21 Savage,defiance-and-rebellion,"But I'm 21 4L, ain’t no way I'ma switch"
A Lot,21 Savage,faith-and-spirituality,"Pray for Tekashi, they want him to rot"
A Lot,21 Savage,false-friendship,"Gang vs. the world, me and my dawg, it was us"
A Lot,21 Savage,family-and-fatherhood,"two of his kids with him right in the studio, that's when I knew"
A Lot,21 Savage,haters-and-critics,How many people done doubted you? (A lot)
A Lot,21 Savage,hustle-and-money,Penitentiary chances just to make a couple bucks
A Lot,21 Savage,loyalty-and-relationships,"Every day that I'm alive, I’ma ride with the stick"
A Lot,21 Savage,mortality-and-death,How many niggas done died? (A lot)|My brother lost his life and it turned me to a beast
A Lot,21 Savage,overcoming-hardship,I been through the storm and it turned me to a G
A Lot,21 Savage,past-trauma-and-healing,My brother got life and it turned me to the streets|My brother lost his life and it turned me to a beast
A Lot,21 Savage,personal-growth-and-change,"But the other side was sunny, I get paid to rap on beats|I had some fans that hopped and abandoned ship"
A Lot,21 Savage,regret-and-reflection,I been playing it back from a lack of promotions
A Lot,21 Savage,relentless-ambition,This is a marathon and I’m aware
A Lot,21 Savage,resilience-and-strength,"But the other side was sunny, I get paid to rap on beats|My brother got life and it turned me to the streets"
A Lot,21 Savage,rising-to-success,"They say that success is the greatest revenge, tell all your friends"
A Lot,21 Savage,rivalry-and-superiority,It’s got to the point that these rappers don't even like rappin' with me
A Lot,21 Savage,self-confidence-and-braggadocio,"I never say anything (Nah), everybody got they thing (True)|I open my book and I jot"
A Lot,21 Savage,street-loyalty-and-danger,How many times you got shot? (A lot)|I'd rather be broke in jail than be dead and rich
A Lot,21 Savage,toxic-relationship,How many times did she leave? (A lot)
A Lot,21 Savage,violence-and-street-danger,How many niggas done died? (A lot)|How many niggas you shot? (A lot)|How many times you got shot? (A lot)
A Lot,21 Savage,vulnerability-and-betrayal,"How many times did she cry? (A lot)|Then you went and wrote a statement, and that really fucked me up"
A Lot,21 Savage,wealth-and-material-success,How much money you got? (A lot)
AA,Walker Hayes,addiction-and-obsession,Now I'm just hooked on Nicorette
AA,Walker Hayes,alcohol-and-substance-abuse,"Hey, I'm just tryna stay out of AA|Hey, I'm just tryna stay out of AA (AA, ooh)"
AA,Walker Hayes,ambition-and-self-determination,Tryna write a song the local country station will play
AA,Walker Hayes,authenticity-and-honesty,"I'm just another John Deere guy|I'm just another John Deere guy (Hey)|That I married up and she married way, way down"
AA,Walker Hayes,faith-and-spirituality,Tryna get to church so I don't go to hell
AA,Walker Hayes,family-and-fatherhood,And I'm just tryna keep my daughters off the pole
AA,Walker Hayes,hidden-emotional-struggle,"Life's hard, family's weird|tryna keep my wife from figuring out"
AA,Walker Hayes,hustle-and-money,"Tryna get paid and a little love made, y'all"
AA,Walker Hayes,overcoming-hardship,"One step at a time, yeah|Well I gave up skoal and cigarettes"
AA,Walker Hayes,personal-growth-and-change,Trying not to be like my old man|Well I gave up skoal and cigarettes
AA,Walker Hayes,relationship-complications,"I'm just tryna keep my wife from figuring out|That I married up and she married way, way down"
AA,Walker Hayes,resilience-and-strength,"One step at a time, yeah"
AA,Walker Hayes,small-town-roots-and-identity,In Alabama where they love Nick Saban
AA,Walker Hayes,societal-pressure,"Kids need shoes, mama needs Levi's"
APT.,ROSE & Bruno Mars,alcohol-and-substance-abuse,"I'm talking drink, dance, smoke, freak, party all night (come on)"
APT.,ROSE & Bruno Mars,carefree-escapism,"Sleep tomorrow, but tonight go crazy"
APT.,ROSE & Bruno Mars,celebration-and-partying,"Turn this 아파트 into a club (uh-huh, uh-huh)"
APT.,ROSE & Bruno Mars,dancing-and-movement,"I'm talking drink, dance, smoke, freak, party all night (come on)"
APT.,ROSE & Bruno Mars,desire-and-lust,"I'm trying to kiss your lips for real (uh-huh, uh-huh)|Red hearts, red hearts, that's what I'm on, yeah"
APT.,ROSE & Bruno Mars,flirtation-and-seduction,"Kissy face, kissy face, sent to your phone, but"
APT.,ROSE & Bruno Mars,human-connection,Don't you need me like I need you now?
APT.,ROSE & Bruno Mars,intimacy-and-connection,"Come give me somethin' I can feel (oh-oh-oh)|I'm trying to kiss your lips for real (uh-huh, uh-huh)"
APT.,ROSE & Bruno Mars,nighttime-revelry,"Sleep tomorrow, but tonight go crazy"
APT.,ROSE & Bruno Mars,partying-and-nightlife,"I'm talking drink, dance, smoke, freak, party all night (come on)"
APT.,ROSE & Bruno Mars,romantic-pursuit,"'Cause I'm comin' to get you, get you, get you|All you gotta do is just meet me at the"
APT.,ROSE & Bruno Mars,sensual-desire,"Come give me somethin' I can feel (oh-oh-oh)|Red hearts, red hearts, that's what I'm on, yeah"
APT.,ROSE & Bruno Mars,urgency-and-time-pressure,"Hold on, hold on, I'm on my way"
About Damn Time,Lizzo,alcohol-and-substance-abuse,I'ma need like two shots in my cup
About Damn Time,Lizzo,carefree-escapism,"Turn up the music, turn down the lights"
About Damn Time,Lizzo,celebration-and-partying,"Turn up the music, let's celebrate (alright)"
About Damn Time,Lizzo,community-and-togetherness,Is everybody back up in the building?
About Damn Time,Lizzo,confidence-and-self-assurance,"I'm way too fine to be this stressed, yeah"
About Damn Time,Lizzo,dancing-and-movement,"Wanna get up, wanna get down"
About Damn Time,Lizzo,female-empowerment,"Bitch, I might be better"
About Damn Time,Lizzo,flirtation-and-seduction,I've been through a lot\nBut I'm still flirty (okay)
