Song,Artist Credit,Pattern,Votes
God Is A Woman,Ariana Grande,X15,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",M1,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",M4,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",M11,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",M13,2
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",F1,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",F2,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",F5,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",X1,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",X2,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",X3,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",X4,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",X5,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",X8,3
Big Bank,"YG Featuring 2 Chainz, Big Sean & Nicki Minaj",X10,3
Bad Guy,Billie Eilish,F3,3
Bad Guy,Billie Eilish,F8,2
Bad Guy,Billie Eilish,F13,3
Bad Guy,Billie Eilish,X9,3
Bad Guy,Billie Eilish,X15,3
7 Rings,Ariana Grande,F6,3
7 Rings,Ariana Grande,F7,3
7 Rings,Ariana Grande,X1,3
Truth Hurts,Lizzo,F4,3
Truth Hurts,Lizzo,F8,3
Truth Hurts,Lizzo,F14,3
Truth Hurts,Lizzo,X8,2
Truth Hurts,Lizzo,X15,3
No Guidance,Chris Brown Featuring Drake,M1,3
No Guidance,Chris Brown Featuring Drake,M2,2
No Guidance,Chris Brown Featuring Drake,M8,3
No Guidance,Chris Brown Featuring Drake,M10,3
No Guidance,Chris Brown Featuring Drake,M12,3
No Guidance,Chris Brown Featuring Drake,X2,3
No Guidance,Chris Brown Featuring Drake,X12,3
No Guidance,Chris Brown Featuring Drake,X14,3
Please Me,Cardi B & Bruno Mars,M2,3
Please Me,Cardi B & Bruno Mars,F3,3
Please Me,Cardi B & Bruno Mars,F7,3
Please Me,Cardi B & Bruno Mars,X2,3
Please Me,Cardi B & Bruno Mars,X7,3
Please Me,Cardi B & Bruno Mars,X8,3
Please Me,Cardi B & Bruno Mars,X9,3
Money,Cardi B,F1,3
Money,Cardi B,F5,3
Money,Cardi B,F7,3
Money,Cardi B,X1,3
Money,Cardi B,X2,3
Money,Cardi B,X3,3
Money,Cardi B,X8,3
You Need To Calm Down,Taylor Swift,X14,3
Look Back At It,A Boogie Wit da Hoodie,M1,3
Look Back At It,A Boogie Wit da Hoodie,M5,3
Look Back At It,A Boogie Wit da Hoodie,M6,3
Look Back At It,A Boogie Wit da Hoodie,M10,3
Look Back At It,A Boogie Wit da Hoodie,X2,3
Look Back At It,A Boogie Wit da Hoodie,X5,3
ME!,Taylor Swift Featuring Brendon Urie,F11,3
ME!,Taylor Swift Featuring Brendon Urie,X1,3
ME!,Taylor Swift Featuring Brendon Urie,X9,3
ME!,Taylor Swift Featuring Brendon Urie,X14,3
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",M1,3
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",M7,3
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",F1,3
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",F12,3
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",X2,3
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",X6,3
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",X8,3
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",X15,3
Act Up,City Girls,F1,3
Act Up,City Girls,F3,3
Act Up,City Girls,F5,3
Act Up,City Girls,F7,3
Act Up,City Girls,X3,3
Act Up,City Girls,X8,3
Act Up,City Girls,X9,3
Act Up,City Girls,X15,3
My Type,Saweetie,F1,3
My Type,Saweetie,F3,3
My Type,Saweetie,F5,3
My Type,Saweetie,F9,3
My Type,Saweetie,F14,3
My Type,Saweetie,X1,3
My Type,Saweetie,X3,3
My Type,Saweetie,X8,3
My Type,Saweetie,X9,3
My Type,Saweetie,X16,3
Clout,Offset Featuring Cardi B,M2,2
Clout,Offset Featuring Cardi B,M4,3
Clout,Offset Featuring Cardi B,M8,3
Clout,Offset Featuring Cardi B,F2,3
Clout,Offset Featuring Cardi B,X1,3
Clout,Offset Featuring Cardi B,X4,3
Clout,Offset Featuring Cardi B,X8,3
Clout,Offset Featuring Cardi B,X10,3
Clout,Offset Featuring Cardi B,X14,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,M1,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,M4,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,M12,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,F1,2
Cash Shit,Megan Thee Stallion Featuring DaBaby,F2,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,F4,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,F5,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,F7,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,X2,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,X3,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,X8,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,X10,3
Cash Shit,Megan Thee Stallion Featuring DaBaby,X12,3
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",M13,3
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",F3,3
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",F8,2
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",X1,3
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",X6,3
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",X8,3
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",X9,3
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",X14,3
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",X15,3
Hot Girl Summer,"Megan Thee Stallion, Nicki Minaj & Ty Dolla $ign",X16,3
Say So,Doja Cat,F3,3
Say So,Doja Cat,F7,2
Say So,Doja Cat,F12,3
Say So,Doja Cat,X2,3
Say So,Doja Cat,X8,3
Say So,Doja Cat,X9,3
Say So,Doja Cat,X15,3
Savage,Megan Thee Stallion,F1,3
Savage,Megan Thee Stallion,F2,3
Savage,Megan Thee Stallion,F3,3
Savage,Megan Thee Stallion,F8,3
Savage,Megan Thee Stallion,X8,3
Savage,Megan Thee Stallion,X9,3
Savage,Megan Thee Stallion,X10,3
Savage,Megan Thee Stallion,X15,3
Intentions,Justin Bieber Featuring Quavo,M1,3
Intentions,Justin Bieber Featuring Quavo,M2,3
Intentions,Justin Bieber Featuring Quavo,M9,3
Intentions,Justin Bieber Featuring Quavo,M11,3
WAP,Cardi B Featuring Megan Thee Stallion,F5,3
WAP,Cardi B Featuring Megan Thee Stallion,F7,3
WAP,Cardi B Featuring Megan Thee Stallion,F8,3
WAP,Cardi B Featuring Megan Thee Stallion,F9,3
WAP,Cardi B Featuring Megan Thee Stallion,X1,3
WAP,Cardi B Featuring Megan Thee Stallion,X3,3
WAP,Cardi B Featuring Megan Thee Stallion,X15,3
Hot Girl Bummer,blackbear,M1,3
Hot Girl Bummer,blackbear,M5,3
Hot Girl Bummer,blackbear,M6,3
Hot Girl Bummer,blackbear,M7,3
Hot Girl Bummer,blackbear,M13,3
Hot Girl Bummer,blackbear,X1,3
Hot Girl Bummer,blackbear,X2,3
Hot Girl Bummer,blackbear,X16,3
One Of Them Girls,Lee Brice,M3,3
One Of Them Girls,Lee Brice,M7,3
One Of Them Girls,Lee Brice,M8,3
One Of Them Girls,Lee Brice,X6,3
One Of Them Girls,Lee Brice,X13,3
You Should Be Sad,Halsey,F2,3
You Should Be Sad,Halsey,F11,3
You Should Be Sad,Halsey,X4,2
Juicy,Doja Cat & Tyga,M1,3
Juicy,Doja Cat & Tyga,M2,3
Juicy,Doja Cat & Tyga,M5,3
Juicy,Doja Cat & Tyga,M7,2
Juicy,Doja Cat & Tyga,F7,3
Juicy,Doja Cat & Tyga,F8,3
Juicy,Doja Cat & Tyga,F12,3
Juicy,Doja Cat & Tyga,X2,3
Juicy,Doja Cat & Tyga,X7,3
Juicy,Doja Cat & Tyga,X8,3
Juicy,Doja Cat & Tyga,X15,3
P*$$y Fairy (OTW),Jhene Aiko,F7,3
P*$$y Fairy (OTW),Jhene Aiko,F9,3
P*$$y Fairy (OTW),Jhene Aiko,F12,3
P*$$y Fairy (OTW),Jhene Aiko,X15,3
Kiss Me More,Doja Cat Featuring SZA,F2,3
Kiss Me More,Doja Cat Featuring SZA,F5,3
Kiss Me More,Doja Cat Featuring SZA,F7,3
Kiss Me More,Doja Cat Featuring SZA,F8,3
Kiss Me More,Doja Cat Featuring SZA,X1,3
Kiss Me More,Doja Cat Featuring SZA,X2,3
Kiss Me More,Doja Cat Featuring SZA,X3,3
Kiss Me More,Doja Cat Featuring SZA,X15,3
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,F14,3
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,X1,3
34+35,Ariana Grande Feat. Doja Cat & Megan Thee Stallion,X16,3
Up,Cardi B,F2,3
Up,Cardi B,F3,3
Up,Cardi B,F5,3
Up,Cardi B,F6,3
Up,Cardi B,F7,3
Up,Cardi B,X3,3
Up,Cardi B,X8,3
Up,Cardi B,X9,2
Up,Cardi B,X10,3
Up,Cardi B,X15,3
Best Friend,Saweetie Featuring Doja Cat,F1,3
Best Friend,Saweetie Featuring Doja Cat,F6,3
Best Friend,Saweetie Featuring Doja Cat,F7,3
Best Friend,Saweetie Featuring Doja Cat,F8,3
Best Friend,Saweetie Featuring Doja Cat,X1,3
Best Friend,Saweetie Featuring Doja Cat,X2,3
Best Friend,Saweetie Featuring Doja Cat,X8,3
Best Friend,Saweetie Featuring Doja Cat,X15,3
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,X2,3
Beautiful Mistakes,Maroon 5 Featuring Megan Thee Stallion,X6,3
Need To Know,Doja Cat,F3,3
Need To Know,Doja Cat,F9,3
Need To Know,Doja Cat,F13,3
Need To Know,Doja Cat,X9,3
Need To Know,Doja Cat,X15,3
Body,Megan Thee Stallion,F7,3
Body,Megan Thee Stallion,F8,3
Body,Megan Thee Stallion,X1,2
Body,Megan Thee Stallion,X8,3
Body,Megan Thee Stallion,X15,3
Thot Shit,Megan Thee Stallion,F2,3
Thot Shit,Megan Thee Stallion,F3,3
Thot Shit,Megan Thee Stallion,F4,3
Thot Shit,Megan Thee Stallion,F5,3
Thot Shit,Megan Thee Stallion,F6,3
Thot Shit,Megan Thee Stallion,X3,3
Thot Shit,Megan Thee Stallion,X8,3
Thot Shit,Megan Thee Stallion,X9,3
Thot Shit,Megan Thee Stallion,X10,3
Thot Shit,Megan Thee Stallion,X15,3
Kings & Queens,Ava Max,F2,3
Kings & Queens,Ava Max,F7,3
Kings & Queens,Ava Max,F8,3
Kings & Queens,Ava Max,F9,3
Kings & Queens,Ava Max,X10,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,M1,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,M2,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,M4,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,M13,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,F2,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,F3,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,F5,2
Cry Baby,Megan Thee Stallion Featuring DaBaby,X1,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,X2,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,X3,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,X4,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,X5,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,X6,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,X7,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,X9,3
Cry Baby,Megan Thee Stallion Featuring DaBaby,X10,3
Big Energy,Latto,F1,3
Big Energy,Latto,F2,3
Big Energy,Latto,F3,3
Big Energy,Latto,F5,3
Big Energy,Latto,F7,3
Big Energy,Latto,F8,3
Big Energy,Latto,F12,3
Big Energy,Latto,F13,3
Big Energy,Latto,F14,3
Big Energy,Latto,X1,3
Big Energy,Latto,X3,3
Big Energy,Latto,X8,3
Big Energy,Latto,X9,3
Big Energy,Latto,X10,3
Big Energy,Latto,X15,3
abcdefu,GAYLE,F1,2
abcdefu,GAYLE,F4,3
Woman,Doja Cat,F5,3
Woman,Doja Cat,F7,3
Woman,Doja Cat,F8,3
Woman,Doja Cat,F11,3
Woman,Doja Cat,F13,3
Woman,Doja Cat,X3,3
Woman,Doja Cat,X15,3
Vegas,Doja Cat,F1,2
Vegas,Doja Cat,F2,3
Super Freaky Girl,Nicki Minaj,F1,3
Super Freaky Girl,Nicki Minaj,F3,3
Super Freaky Girl,Nicki Minaj,F7,3
Super Freaky Girl,Nicki Minaj,F8,3
Super Freaky Girl,Nicki Minaj,X1,3
Super Freaky Girl,Nicki Minaj,X7,3
Super Freaky Girl,Nicki Minaj,X8,3
Super Freaky Girl,Nicki Minaj,X9,3
Super Freaky Girl,Nicki Minaj,X15,3
MAMIII,Becky G X Karol G,F3,3
MAMIII,Becky G X Karol G,F4,3
MAMIII,Becky G X Karol G,F8,3
MAMIII,Becky G X Karol G,X2,3
MAMIII,Becky G X Karol G,X9,3
MAMIII,Becky G X Karol G,X10,2
MAMIII,Becky G X Karol G,X15,3
Sweetest Pie,Megan Thee Stallion & Dua Lipa,F3,3
Sweetest Pie,Megan Thee Stallion & Dua Lipa,F7,3
Sweetest Pie,Megan Thee Stallion & Dua Lipa,F9,3
Sweetest Pie,Megan Thee Stallion & Dua Lipa,X8,3
Sweetest Pie,Megan Thee Stallion & Dua Lipa,X9,3
Sweetest Pie,Megan Thee Stallion & Dua Lipa,X15,3
Get Into It (Yuh),Doja Cat,F3,3
Get Into It (Yuh),Doja Cat,F7,3
Get Into It (Yuh),Doja Cat,F8,3
Get Into It (Yuh),Doja Cat,X2,3
Get Into It (Yuh),Doja Cat,X8,3
Get Into It (Yuh),Doja Cat,X9,3
Get Into It (Yuh),Doja Cat,X15,3
Party,Bad Bunny & Rauw Alejandro,M1,3
Party,Bad Bunny & Rauw Alejandro,M3,3
Party,Bad Bunny & Rauw Alejandro,M4,3
Party,Bad Bunny & Rauw Alejandro,M6,3
Party,Bad Bunny & Rauw Alejandro,M13,3
Party,Bad Bunny & Rauw Alejandro,X2,3
Party,Bad Bunny & Rauw Alejandro,X3,3
Party,Bad Bunny & Rauw Alejandro,X13,2
Cuff It,Beyonce,F11,3
Cuff It,Beyonce,F13,3
Cuff It,Beyonce,X1,3
Cuff It,Beyonce,X12,3
Cuff It,Beyonce,X15,2
Players,Coi Leray,F3,3
Players,Coi Leray,F5,3
Players,Coi Leray,F6,3
Players,Coi Leray,F7,3
Players,Coi Leray,F8,3
Players,Coi Leray,F9,3
Players,Coi Leray,X1,3
Players,Coi Leray,X8,3
Players,Coi Leray,X9,3
Players,Coi Leray,X15,3
Dance The Night,Dua Lipa,F7,2
Dance The Night,Dua Lipa,F10,3
Dance The Night,Dua Lipa,F11,2
Spin Bout U,Drake & 21 Savage,M1,3
Spin Bout U,Drake & 21 Savage,M2,3
Spin Bout U,Drake & 21 Savage,M4,3
Spin Bout U,Drake & 21 Savage,M5,3
Spin Bout U,Drake & 21 Savage,M6,3
Spin Bout U,Drake & 21 Savage,M9,3
Spin Bout U,Drake & 21 Savage,M10,3
Spin Bout U,Drake & 21 Savage,M11,3
Spin Bout U,Drake & 21 Savage,M13,3
Spin Bout U,Drake & 21 Savage,X2,3
Spin Bout U,Drake & 21 Savage,X3,3
Spin Bout U,Drake & 21 Savage,X7,2
Spin Bout U,Drake & 21 Savage,X9,3
Spin Bout U,Drake & 21 Savage,X12,2
Spin Bout U,Drake & 21 Savage,X13,3
Spin Bout U,Drake & 21 Savage,X16,3
Barbie World,Nicki Minaj & Ice Spice With Aqua,F1,3
Barbie World,Nicki Minaj & Ice Spice With Aqua,F5,3
Barbie World,Nicki Minaj & Ice Spice With Aqua,F7,3
Barbie World,Nicki Minaj & Ice Spice With Aqua,F8,3
Barbie World,Nicki Minaj & Ice Spice With Aqua,F13,3
Barbie World,Nicki Minaj & Ice Spice With Aqua,F14,2
Barbie World,Nicki Minaj & Ice Spice With Aqua,X1,3
Barbie World,Nicki Minaj & Ice Spice With Aqua,X2,2
Barbie World,Nicki Minaj & Ice Spice With Aqua,X3,3
Barbie World,Nicki Minaj & Ice Spice With Aqua,X8,3
Barbie World,Nicki Minaj & Ice Spice With Aqua,X15,3
Paint The Town Red,Doja Cat,F1,3
Paint The Town Red,Doja Cat,X1,3
Paint The Town Red,Doja Cat,X8,3
Made You Look,Meghan Trainor,F6,3
Made You Look,Meghan Trainor,F7,3
Made You Look,Meghan Trainor,F8,3
Made You Look,Meghan Trainor,X7,3
Made You Look,Meghan Trainor,X15,3
Wait In The Truck,HARDY Featuring Lainey Wilson,M2,3
Wait In The Truck,HARDY Featuring Lainey Wilson,M3,3
Wait In The Truck,HARDY Featuring Lainey Wilson,M12,3
Wait In The Truck,HARDY Featuring Lainey Wilson,X13,3
TQG,Karol G x Shakira,F3,3
TQG,Karol G x Shakira,F4,3
TQG,Karol G x Shakira,F8,3
TQG,Karol G x Shakira,F11,3
TQG,Karol G x Shakira,X7,3
TQG,Karol G x Shakira,X8,2
TQG,Karol G x Shakira,X9,3
TQG,Karol G x Shakira,X15,3
Princess Diana,Ice Spice & Nicki Minaj,F1,3
Princess Diana,Ice Spice & Nicki Minaj,F3,3
Princess Diana,Ice Spice & Nicki Minaj,F6,3
Princess Diana,Ice Spice & Nicki Minaj,F8,3
Princess Diana,Ice Spice & Nicki Minaj,X8,3
Princess Diana,Ice Spice & Nicki Minaj,X9,3
Princess Diana,Ice Spice & Nicki Minaj,X15,3
Tomorrow 2,GloRilla & Cardi B,F2,3
Tomorrow 2,GloRilla & Cardi B,F3,3
Tomorrow 2,GloRilla & Cardi B,X3,2
Tomorrow 2,GloRilla & Cardi B,X8,3
Tomorrow 2,GloRilla & Cardi B,X9,3
Tomorrow 2,GloRilla & Cardi B,X10,2
Tomorrow 2,GloRilla & Cardi B,X14,3
