Title,Artists,Positions,Performer Gender
No One Noticed,The Marias,2025#32,mixed
No Pole,Don Toliver,2025#97,male
No Promises,Cheat Codes Featuring Demi Lovato,2017#91,mixed
No Tears Left To Cry,Ariana Grande,2018#20,female
Nobody But You,Blake Shelton Duet With Gwen Stefani,2020#52,mixed
Nobody Gets Me,SZA,2023#77,female
Nokia,Drake,2025#24,male
Nonstop,Drake,2018#52,male
Not Like Us,Kendrick Lamar,2024#6/2025#17,male
Now Or Never,Halsey,2017#59,female
Nuevayol,Bad Bunny,2025#89,male
Numb Little Bug,Em Beihold,2022#32,female
Oh My God,Adele,2022#72,female
Ojitos Lindos,Bad Bunny & Bomba Estereo,2022#87,mixed
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,2019#1,male
On Me,Lil Baby,2021#36,male
On My Mama,Victoria Monet,2024#91,female
On My Mind,Ellie Goulding,2016#81,female
One Call Away,Charlie Puth,2016#43,male
One Dance,Drake Featuring WizKid & Kyla,2016#3,mixed
One Kiss,Calvin Harris & Dua Lipa,2018#68,mixed
One Man Band,Old Dominion,2020#59,male
One Margarita,Luke Bryan,2020#70,male
One Mississippi,Kane Brown,2022#99,male
One Number Away,Luke Combs,2018#96,male
One Of Them Girls,Lee Brice,2020#68,male
One Right Now,Post Malone & The Weeknd,2022#30,male
One Thing At A Time,Morgan Wallen,2023#37,male
One Thing Right,Marshmello & Kane Brown,2019#89,male
One Too Many,Keith Urban Duet With P!nk,2021#81,mixed
Only Human,Jonas Brothers,2019#78/2020#77,male
Ordinary,Alex Warren,2025#7,male
Oui,Jeremih,2016#55,male
Outside Today,YoungBoy Never Broke Again,2018#91,male
P*$$y Fairy (OTW),Jhene Aiko,2020#94,female
Paint The Town Red,Doja Cat,2023#52/2024#21,female
Panda,Desiigner,2016#6,male
Panini,Lil Nas X,2019#40/2020#71,male
Paris,The Chainsmokers,2017#42,male
Party,Bad Bunny & Rauw Alejandro,2022#77,male
Party Girl,StaySolidRocky,2020#64,male
Passionfruit,Drake,2017#65,male
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,2021#10,male
Peaches & Eggplants,Young Nudy Featuring 21 Savage,2023#94,male
Peekaboo,Kendrick Lamar Featuring AzChike,2025#53,male
Perfect,Ed Sheeran,2018#2,male
Perfect,One Direction,2016#100,male
Pillowtalk,Zayn,2016#22,male
Pink Pony Club,Chappell Roan,2025#10,female
Pink Skies,Zach Bryan,2024#30,male
Plain Jane,A$AP Ferg Featuring Nicki Minaj,2018#74,mixed
Players,Coi Leray,2023#33,female
Please Me,Cardi B & Bruno Mars,2019#37,mixed
Please Please Please,Sabrina Carpenter,2024#16/2025#50,female
Plug Walk,Rich The Kid,2018#57,male
Pop Out,Polo G Featuring Lil Tjay,2019#45,male
Pop Style,Drake Featuring The Throne,2016#82,male
Popstar,DJ Khaled Featuring Drake,2020#66,male
Por Las Noches,Peso Pluma,2023#86,male
Positions,Ariana Grande,2021#14,female
Pour Me A Drink,Post Malone Featuring Blake Shelton,2024#76,male
pov,Ariana Grande,2021#87,female
Powerglide,Rae Sremmurd & Juicy J,2018#97,male
Pray For Me,The Weeknd & Kendrick Lamar,2018#40,male
Praying,Kesha,2017#67,female
PRC,Peso Pluma X Natanael Cano,2023#90,male
Pretty Little Poison,Warren Zeiders,2024#60,male
Princess Diana,Ice Spice & Nicki Minaj,2023#69,female
Provenza,Karol G,2022#63,female
Psycho,Post Malone Featuring Ty Dolla $ign,2018#6,male
Puffin On Zootiez,Future,2022#84,male
Pure Water,Mustard & Migos,2019#55,male
Pushin P,Gunna & Future Featuring Young Thug,2022#48,male
Put It On Da Floor Again,Latto Featuring Cardi B,2023#98,female
Put Your Records On,Ritt Momney,2021#93,male
Rags2Riches,Rod Wave Featuring ATR Son Son,2020#90,male
Rain On Me,Lady Gaga & Ariana Grande,2020#48,female
Rake It Up,Yo Gotti Featuring Nicki Minaj,2017#53,mixed
Ran$om,Lil Tecca,2019#28,male
Rapstar,Polo G,2021#30,male
Rather Lie,Playboi Carti & The Weeknd,2025#91,male
Really Really,Kevin Gates,2016#92,male
Redbone,Childish Gambino,2017#25,male
Redrum,21 Savage,2024#42,male
Religiously,Bailey Zimmerman,2023#42,male
Residuals,Chris Brown,2025#63,male
Revolving Door,Tate McRae,2025#82,female
Ric Flair Drip,Offset & Metro Boomin,2018#38,male
Rich Baby Daddy,Drake Featuring Sexyy Red & SZA,2024#45,mixed
Rich Flex,Drake & 21 Savage,2023#14,male
Rich Men North Of Richmond,Oliver Anthony Music,2023#78,male
Ride,twenty one pilots,2016#20,male
RITMO (Bad Boys For Life),Black Eyed Peas X J Balvin,2020#50,mixed
Robbery,Juice WRLD,2019#100,male
Rock And A Hard Place,Bailey Zimmerman,2022#70/2023#16,male
Rockabye,Clean Bandit Featuring Sean Paul & Anne-Marie,2017#44,mixed
Rockin' Around The Christmas Tree,Brenda Lee,2021#92/2022#80/2023#60/2024#59/2025#67,female
Rockstar,DaBaby Featuring Roddy Ricch,2020#5,male
Rockstar,Post Malone Featuring 21 Savage,2017#56/2018#5,male
Rolex,Ayo & Teo,2017#61,male
Roses,SAINt JHN,2020#19,male
Roses,The Chainsmokers Featuring Rozes,2016#27,mixed
Roxanne,Arizona Zervas,2020#16,male
Rumor,Lee Brice,2019#81,male
Running Up That Hill (A Deal With God),Kate Bush,2022#23,female
Sad!,XXXTENTACION,2018#17,male
Said Sum,Moneybagg Yo,2020#98,male
Sailor Song,Gigi Perez,2025#36,female
Same Old Love,Selena Gomez,2016#40,female
Sand In My Boots,Morgan Wallen,2022#58,male
Saturn,SZA,2024#19,female
Savage,Megan Thee Stallion,2020#15,female
Savage Love (Laxed - Siren Beat),Jawsh 685 x Jason Derulo,2020#35,male
Save Me,Jelly Roll With Lainey Wilson,2024#65,mixed
Save Your Tears,The Weeknd & Ariana Grande,2021#2/2022#40,mixed
Say It,Tory Lanez,2016#74,male
Say So,Doja Cat,2020#11,female
Say Something,Justin Timberlake Featuring Chris Stapleton,2018#85,male
Say You Won't Let Go,James Arthur,2017#11,male
Scars To Your Beautiful,Alessia Cara,2017#30,female
Search & Rescue,Drake,2023#45,male
See You Again,Wiz Khalifa Featuring Charlie Puth,2016#99,male
Send My Love (To Your New Lover),Adele,2016#26,female
Senorita,Shawn Mendes & Camila Cabello,2019#15/2020#44,mixed
Seven,Jung Kook Featuring Latto,2023#82,mixed
Shallow,Lady Gaga & Bradley Cooper,2019#19,mixed
Shape Of You,Ed Sheeran,2017#1/2018#71,male
She Had Me At Heads Carolina,Cole Swindell,2022#46,male
She Likes It,Russell Dickerson & Jake Scott,2022#91,male
She's All I Wanna Be,Tate McRae,2022#94,female
Shirt,SZA,2023#51,female
Shivers,Ed Sheeran,2022#5,male
Shotta Flow,NLE Choppa,2019#92,male
Sicko Mode,Travis Scott,2018#42/2019#9,male
Side To Side,Ariana Grande Featuring Nicki Minaj,2016#77/2017#43,female
Sign Of The Times,Harry Styles,2017#87,male
Simple,Florida Georgia Line,2018#82,male
Single Saturday Night,Cole Swindell,2021#95,male
"Sit Still, Look Pretty",Daya,2016#78,female
Sky Walker,Miguel Featuring Travis Scott,2018#75,male
Slide,Calvin Harris Featuring Frank Ocean & Migos,2017#71,male
Slide,H.E.R. Featuring YG,2020#99,mixed
Slippery,Migos Featuring Gucci Mane,2017#86,male
Slow Hands,Niall Horan,2017#32,male
Slow It Down,Benson Boone,2024#41,male
Small Town Boy,Dustin Lynch,2017#94,male
Smile,Morgan Wallen,2025#64,male
Smokin Out The Window,Silk Sonic (Bruno Mars & Anderson .Paak),2022#41,male
Snooze,SZA,2023#9/2024#20,female
Soda Pop,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",2025#61,male
Somebody Loves Me,"PARTYNEXTDOOR, Drake & Cash Cobain",2025#85,male
Someone You Loved,Lewis Capaldi,2019#27/2020#10,male
Something In The Orange,Zach Bryan,2022#39/2023#13,male
Something Just Like This,The Chainsmokers & Coldplay,2017#5,male
Sorry,Beyonce,2016#71,female
Sorry,Justin Bieber,2016#2,male
Sorry I'm Here For Someone Else,Benson Boone,2025#37,male
Sorry Not Sorry,Demi Lovato,2017#47/2018#64,genderfluid
Speechless,Dan + Shay,2019#35,male
Spin Bout U,Drake & 21 Savage,2023#43,male
Sports Car,Tate McRae,2025#46,female
Squabble Up,Kendrick Lamar,2025#20,male
Starboy,The Weeknd Featuring Daft Punk,2016#58/2017#20,male
Stargazing,Myles Smith,2024#73/2025#29,male
Starting Over,Chris Stapleton,2021#53,male
Starving,Hailee Steinfeld & Grey Featuring Zedd,2016#94/2017#82,mixed
Stay,The Kid LAROI & Justin Bieber,2021#12/2022#3,male
Stay,Zedd & Alessia Cara,2017#17,mixed
Stick Season,Noah Kahan,2024#11,male
Sticky,"Tyler, The Creator Featuring GloRilla, Sexyy Red & Lil Wayne",2025#41,mixed
Stir Fry,Migos,2018#48,male
Stitches,Shawn Mendes,2016#23,male
Streets,Doja Cat,2021#67,female
Stressed Out,twenty one pilots,2016#5,male
Strip That Down,Liam Payne Featuring Quavo,2017#36,male
Stuck With U,Ariana Grande & Justin Bieber,2020#80,mixed
Sucker,Jonas Brothers,2019#10,male
Sucker For Pain,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign Feat. X Ambassadors",2016#68,male
Suge,DaBaby,2019#24,male
Suicidal,YNW Melly & Juice WRLD,2020#75,male
Sum 2 Prove,Lil Baby,2020#79,male
Sunday Best,Surfaces,2020#61,male
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,2019#2,male
Sunroof,Nicky Youre & dazy,2022#29,male
Supalonely,BENEE Featuring Gus Dapperton,2020#84,mixed
Super Freaky Girl,Nicki Minaj,2022#56/2023#79,female
Super Gremlin,Kodak Black,2022#9,male
Superhero (Heroes & Villains),"Metro Boomin, Future & Chris Brown",2023#38,male
Superman,Morgan Wallen,2025#99,male
Sure Thing,Miguel,2023#24,male
Surface Pressure,Jessica Darrow,2022#53,non-binary
Swalla,Jason Derulo Featuring Nicki Minaj & Ty Dolla $ign,2017#85,mixed
Swang,Rae Sremmurd,2017#64,male
Sweet But Psycho,Ava Max,2019#23,female
Sweetest Pie,Megan Thee Stallion & Dua Lipa,2022#62,female
Swervin,A Boogie Wit da Hoodie Featuring 6ix9ine,2019#82,male
T-Shirt,Migos,2017#52,male
Take My Breath,The Weeknd,2021#89,male
Take My Name,Parmalee,2022#82,male
Takedown,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025#93,female
Taki Taki,"DJ Snake Featuring Selena Gomez, Ozuna & Cardi B",2019#57,mixed
Talk,Khalid,2019#8,male
Talk You Out Of It,Florida Georgia Line,2019#94,male
Taste,Sabrina Carpenter,2024#86/2025#19,female
Taste,Tyga Featuring Offset,2018#28,male
Te Bote,"Casper Magico, Nio Garcia, Darell, Nicky Jam, Ozuna & Bad Bunny",2018#81,male
Telepatia,Kali Uchis,2021#49,female
Tennessee Orange,Megan Moroney,2023#67,female
Tequila,Dan + Shay,2018#32/2019#91,male
Texas Hold 'Em,Beyonce,2024#32,female
Thank God,Kane Brown With Katelyn Brown,2023#23,mixed
"Thank U, Next",Ariana Grande,2019#12,female
That's So True,Gracie Abrams,2025#14,female
That's What I Like,Bruno Mars,2017#3,male
Thats What I Want,Lil Nas X,2022#14,male
The Bigger Picture,Lil Baby,2020#76,male
The Bones,Maren Morris,2020#9,female
The Box,Roddy Ricch,2020#3,male
The Fighter,Keith Urban Featuring Carrie Underwood,2017#100,mixed
The Git Up,Blanco Brown,2019#56,male
The Good Ones,Gabby Barrett,2021#62,female
The Hills,The Weeknd,2016#32,male
The Kind Of Love We Make,Luke Combs,2022#36,male
The London,"Young Thug, J. Cole & Travis Scott",2019#64,male
The Middle,"Zedd, Maren Morris & Grey",2018#8,mixed
The Painter,Cody Johnson,2024#98,male
The Scotts,"THE SCOTTS, Travis Scott & Kid Cudi",2020#86,male
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,2020#78,male
There's Nothing Holdin' Me Back,Shawn Mendes,2017#23,male
Therefore I Am,Billie Eilish,2021#25,female
Things A Man Oughta Know,Lainey Wilson,2021#96,female
Thinkin' Bout Me,Morgan Wallen,2023#19/2024#31,male
This Is America,Childish Gambino,2018#51,male
This Is What You Came For,Calvin Harris Featuring Rihanna,2016#17,mixed
Thot Shit,Megan Thee Stallion,2021#71,female
Thotiana,Blueface,2019#47,male
Thought You Should Know,Morgan Wallen,2023#22,male
Throat Baby (Go Baby),BRS Kash,2021#97,male
Thunder,Imagine Dragons,2017#51/2018#22,male
Tiimmy Turner,Desiigner,2016#98,male
Time Today,Moneybagg Yo,2021#76,male
Timeless,The Weeknd & Playboi Carti,2025#16,male
Titi Me Pregunto,Bad Bunny,2022#22,male
To The Moon!,JNR CHOI & Sam Tompkins,2022#97,male
Todo de Ti,Rauw Alejandro,2021#100,male
Tombstone,Rod Wave,2021#98,male
Tomorrow 2,GloRilla & Cardi B,2023#70,female
Too Good,Drake Featuring Rihanna,2016#29,mixed
Too Good At Goodbyes,Sam Smith,2017#77/2018#49,non-binary
Too Sweet,Hozier,2024#10/2025#34,male
Toosie Slide,Drake,2020#32,male
TQG,Karol G x Shakira,2023#65,female
Track Star,Mooski,2021#75,male
Traitor,Olivia Rodrigo,2021#38,female
Trampoline,SHAED,2019#70/2020#53,mixed
Treat You Better,Shawn Mendes,2016#28/2017#92,male
Trip,Ella Mai,2018#92/2019#80,female
Trouble With A Heartbreak,Jason Aldean,2022#88,male
Truck Bed,HARDY,2024#67,male
Truth Hurts,Lizzo,2019#13/2020#55,female
Try That In A Small Town,Jason Aldean,2023#66,male
Tu Boda,Oscar Maydon & Fuerza Regida,2025#87,male
Tunnel Vision,Kodak Black,2017#55,male
TV Off,Kendrick Lamar Featuring Lefty Gunplay,2025#15,male
Type Shit,"Future, Metro Boomin, Travis Scott & Playboi Carti",2024#51,male
Un x100to,Grupo Frontera X Bad Bunny,2023#49,male
Under The Influence,Chris Brown,2023#17,male
Undressed,sombr,2025#42,male
Unforgettable,French Montana Featuring Swae Lee,2017#15,male
Unholy,Sam Smith & Kim Petras,2022#98/2023#11,mixed
Unsteady,X Ambassadors,2016#67,male
Until I Found You,Stephen Sanchez,2023#50,male
Up,Cardi B,2021#26,female
Vampire,Olivia Rodrigo,2023#30/2024#57,female
Vegas,Doja Cat,2022#47,female
Wait,Maroon 5,2018#58,male
Wait For U,Future Featuring Drake & Tems,2022#11/2023#83,mixed
Wait In The Truck,HARDY Featuring Lainey Wilson,2023#54,mixed
Wake Up In The Sky,Gucci Mane X Bruno Mars X Kodak Black,2019#51,male
Walk Em Down,NLE Choppa Featuring Roddy Ricch,2020#100,male
Walk It Talk It,Migos Featuring Drake,2018#43,male
Walk Me Home,P!nk,2019#99,female
Wanna Be,GloRilla & Megan Thee Stallion,2024#40,female
Wants And Needs,Drake Featuring Lil Baby,2021#47,male
WAP,Cardi B Featuring Megan Thee Stallion,2020#24,female
Wasted On You,Morgan Wallen,2022#19,male
Watch Me,Silento,2016#88,male
Water,Tyla,2024#24,female
Water Under The Bridge,Adele,2017#88,female
Watermelon Moonshine,Lainey Wilson,2023#100,female
Watermelon Sugar,Harry Styles,2020#20,male
Way 2 Sexy,Drake Featuring Future & Young Thug,2021#48,male
We Can't Be Friends (Wait For Your Love),Ariana Grande,2024#26,female
We Don't Talk About Bruno,"Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast",2022#24,mixed
We Don't Talk Anymore,Charlie Puth Featuring Selena Gomez,2016#50,mixed
We Paid,Lil Baby & 42 Dugg,2020#57,male
We're Good,Dua Lipa,2021#90,female
Weren't For The Wind,Ella Langley,2025#71,female
What About Us,P!nk,2017#84,female
What Do You Mean?,Justin Bieber,2016#31,male
What Happened To Virgil,Lil Durk Featuring Gunna,2022#83,male
What I Want,Morgan Wallen Featuring Tate McRae,2025#27,mixed
What Ifs,Kane Brown Featuring Lauren Alaina,2017#72,mixed
What It Is (Block Boy),Doechii Featuring Kodak Black,2023#76,mixed
What It Sounds Like,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",2025#83,female
What Lovers Do,Maroon 5 Featuring SZA,2017#97/2018#89,mixed
What My World Spins Around,Jordan Davis,2023#91,male
What Was I Made For?,Billie Eilish,2023#81/2024#46,female
What You Know Bout Love,Pop Smoke,2021#22,male
What's Next,Drake,2021#68,male
What's Your Country Song,Thomas Rhett,2021#80,male
Whatchu Kno About Me,GloRilla & Sexyy Red,2025#48,female
Whatever It Takes,Imagine Dragons,2018#37,male
Whatever She Wants,Bryson Tiller,2024#58,male
Whats Poppin,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",2020#13,male
When The Party's Over,Billie Eilish,2019#67,female
When We Were Young,Adele,2016#83,female
Where It Ends,Bailey Zimmerman,2024#87,male
Where She Goes,Bad Bunny,2023#72,male
Where The Wild Things Are,Luke Combs,2024#70,male
Whiskey Glasses,Morgan Wallen,2019#52,male
White Horse,Chris Stapleton,2024#77,male
White Iverson,Post Malone,2016#65,male
Who,Jimin,2025#57,male
Whoopty,CJ,2021#50,male
Wicked,Future,2016#97,male
Wild As Her,Corey Kent,2023#93,male
Wild Ones,Jessie Murph & Jelly Roll,2024#36,mixed
Wild Thoughts,DJ Khaled Featuring Rihanna & Bryson Tiller,2017#18,mixed
Wildest Dreams,Taylor Swift,2016#79,female
Wildflower,Billie Eilish,2024#89/2025#26,female
Willow,Taylor Swift,2021#55,female
Wind Up Missin' You,Tucker Wetmore,2024#95,male
Wishing Well,Juice WRLD,2020#92,male
Without Me,Halsey,2019#3,female
Without You,The Kid LAROI,2021#17,male
Woah,Lil Baby,2020#42,male
Wockesha,Moneybagg Yo,2021#42,male
Wolves,Selena Gomez X Marshmello,2018#60,mixed
Woman,Doja Cat,2022#21,female
Work,Rihanna Featuring Drake,2016#4,mixed
Work From Home,Fifth Harmony Featuring Ty Dolla $ign,2016#16,mixed
World On Fire,Nate Smith,2024#90,male
Worst Way,Riley Green,2025#35,male
Worth It,YK Osiris,2019#77,male
Wow.,Post Malone,2019#5,male
X,Nicky Jam x J Balvin,2018#90,male
XO TOUR Llif3,Lil Uzi Vert,2017#13,non-binary
Yeah Glo!,GloRilla,2024#44,female
Yes Indeed,Lil Baby & Drake,2018#25,male
"Yes, And?",Ariana Grande,2024#92,female
Yonaguni,Bad Bunny,2021#83,male
You Broke Me First.,Tate McRae,2021#37,female
You Make It Easy,Jason Aldean,2018#70,male
You Need To Calm Down,Taylor Swift,2019#39,female
You Proof,Morgan Wallen,2022#27/2023#12,male
You Right,Doja Cat & The Weeknd,2021#43/2022#45,mixed
You Say,Lauren Daigle,2019#60,female
You Should Be Sad,Halsey,2020#82,female
You Should Probably Leave,Chris Stapleton,2022#79,male
You're Mines Still,Yung Bleu Featuring Drake,2021#58,male
Young Dumb & Broke,Khalid,2017#78/2018#67,male
Youngblood,5 Seconds Of Summer,2018#36/2019#33,male
Your Idol,"Saja Boys: Andrew Choi, Neckwav, Danny Chung, Kevin Woo & samUIL Lee",2025#54,male
Yummy,Justin Bieber,2020#58,male
ZEZE,Kodak Black Featuring Travis Scott & Offset,2019#31,male
